Waiting on bqjob_r43194d38a232e8fa_0000019dd4a5b1fb_1 ... (0s) Current status: DONE   
dim,driver,val,p,d,s
P,FBM-S Seller Dev,FBM - Pre Inbound,126,38,188
P,FBM-S Seller Dev,FBM - Inventario,74,28,110
P,FBM-S Seller Dev,FBM - Post Inbound,57,21,84
P,FBM-S Seller Dev,FBM - Retiro de Stock - Cx One,51,19,76
P,FBM-S Seller Dev,FBM - Funcionalidades,20,14,38
P,FBM-S Seller Dev,FBM - Devoluciones,13,3,19
P,FBM-S Seller Dev,FBM - Outbound,6,2,9
P,ME Vendedor Mature,Reputación ME,604,80,756
P,ME Vendedor Mature,Despacho Ventas y Publicaciones,416,110,614
P,ME Vendedor Mature,Reversa,322,66,420
P,ME Vendedor Mature,Gestiones Operativas,196,54,298
P,ME Vendedor Mature,Viaje del paquete - Vendedor,74,4,90
P,ME Vendedor Mature,Viaje del paquete - Comprador,4,0,4
P,ME Vendedor Mature,Suspensiones ME,2,0,2
P,ME Vendedor Meli Pro,Reputación ME,29,5,35
P,ME Vendedor Meli Pro,Despacho Ventas y Publicaciones,7,3,13
P,ME Vendedor Meli Pro,Reversa,11,1,12
P,ME Vendedor Meli Pro,Gestiones Operativas,7,1,8
P,ME Vendedor Meli Pro,Viaje del paquete - Vendedor,6,0,7
P,ME Vendedor Seller Dev,Reputación ME,2080,148,2402
P,ME Vendedor Seller Dev,Despacho Ventas y Publicaciones,1520,360,2062
P,ME Vendedor Seller Dev,Gestiones Operativas,546,74,692
P,ME Vendedor Seller Dev,Reversa,468,128,668
P,ME Vendedor Seller Dev,Viaje del paquete - Vendedor,344,42,438
P,ME Vendedor Seller Dev,Suspensiones ME,0,2,4
P,Otros CV,KYC Services,460,17,517
P,Otros CV,Viaje del paquete - Comprador,79,22,115
P,Otros CV,Apelaciones retorno buyer XDDS,7,25,33
P,Otros CV,Problemas de seguridad,13,14,31
P,Otros CV,Viaje del paquete - Vendedor,20,9,30
P,Otros CV,Problemas con acceso y factores,17,1,21
P,Otros CV,KYC seg360,10,7,18
P,Otros CV,Caja vacía - Flex,9,6,18
P,Otros CV,Tarjetas de crédito - Solicitud y Límites,11,2,15
P,Otros CV,Configuración de la cuenta,10,3,14
P,Otros CV,Restricciones,5,7,14
P,Otros CV,Post Compra Funcionalidades CBT,7,4,13
P,Otros CV,Problemas con pagos - Cards,7,3,12
P,Otros CV,Consumer Credits,9,3,12
P,Otros CV,CBT - Prohibited items,10,2,12
P,Otros CV,Reputación ME Masivos,1,10,11
P,Otros CV,Funcionalidades de tarjetas de Crédito,6,3,10
P,Otros CV,Asignación del contáctanos Buyers Post,9,0,10
P,Otros CV,Cancelación de cuenta,5,1,7
P,Otros CV,Afiliados ML,4,2,6
P,Otros CV,Posterior a la Entrega,4,2,6
P,Otros CV,Reputación ML Masivos,4,2,6
P,Otros CV,Seguros transaccional - Payers,6,0,6
P,Otros CV,Caja vacía - MP,5,0,5
P,Otros CV,CBT - Intellectual Property,4,1,5
P,Otros CV,Post_Compra_Funcionalidades_MP_Comprador,3,2,5
P,Otros CV,Apelaciones buyer XDDS,1,4,5
P,Otros CV,Consumer Credits - Solicitud y Límites,4,0,5
P,Otros CV,Transferencias de dinero,3,0,4
P,Otros CV,Reembolso de la compra MP,3,1,4
P,Otros CV,PR - Técnica prohibida Masivos,1,3,4
P,Otros CV,Antes de publicar,1,0,3
P,Otros CV,Asignación del contáctanos Mature Ventas,2,1,3
P,Otros CV,Tasas e Incentivos Sellers,3,0,3
P,Otros CV,Extractos y Reportes,3,0,3
P,Otros CV,Registro,1,0,3
P,Otros CV,Gestiones Operativas,2,0,3
P,Otros CV,Anulación de Pagos - Payers,0,2,3
P,Otros CV,Chargeback Comprador,2,1,3
P,Otros CV,PR - Artículos prohibidos,0,2,2
P,Otros CV,Asignación del Contactanos Cuenta Marketplace,1,1,2
P,Otros CV,Relaciones entre cuentas,1,1,2
P,Otros CV,CBT - Prohibited technique,1,0,2
P,Otros CV,Guardia Urbana,2,0,2
P,Otros CV,Reputación,1,1,2
P,Otros CV,Funcionalidades de Seguros - Payers,1,1,2
P,Otros CV,Prevención de Fraude - Vendedor - PNR C,1,1,2
P,Otros CV,Funcionalidades de tarjetas de Débito y Crédito,2,0,2
P,Otros CV,Denuncia de usuario,1,0,1
P,Otros CV,Asignación del Contáctanos - Top Off,0,1,1
P,Otros CV,CDB Investments,0,1,1
P,Otros CV,Despacho Ventas y Publicaciones Masivos,0,1,1
P,Otros CV,Asignación del contáctanos Buyers Pre,0,0,1
P,Otros CV,Rendimientos en cuenta,0,0,1
P,Otros CV,Asignación del Contáctanos PNRMP,1,0,1
P,Otros CV,Potenciar Ventas,0,1,1
P,Otros CV,Emision de Nota Fiscal,1,0,1
P,Otros CV,Funcionalidades generales MP - Sellers,1,0,1
P,Otros CV,Merchant Credits,1,0,1
P,Otros CV,Datos fiscales,0,1,1
P,Otros CV,Calidad de foto Masivos,0,1,1
P,Otros CV,Consultas y Problemas con Pagos - Payers,0,1,1
P,Otros CV,Funcionalidades de la Wallet,1,0,1
P,Otros CV,Point - Logística,1,0,1
P,Otros CV,FBM - Devoluciones - Masivo,1,0,1
P,Otros CV,ML | SHS - Soluções Genéricas,1,0,1
P,Otros CV,Point - Como adquirir dispositivo,1,0,1
P,Otros CV,PR - Propiedad intelectual,0,1,1
P,Otros CV,Facturación,0,1,1
P,Otros CV,PR - Técnica prohibida,1,0,1
P,Otros CV,SHS - MED - Funcionalidades,1,0,1
P,Otros CV,Fondos Investments,0,1,1
P,Otros CV,FBM - Inventario - Masivo,0,1,1
P,Otros CV,Financiamiento de vehículos - Prendarios,1,0,1
P,Otros CV,Privacidad de datos - LGPD,0,1,1
P,Otros CV,Acreditacion del cobro,0,1,1
P,Otros CV,Mi dinero,1,0,1
P,Otros CV,Jornada de la entrega,0,1,1
P,Otros CV,Post Compra Funcionalidades Vendedor,0,1,1
P,PCF Vendedor Mature,Post Compra Funcionalidades Vendedor,332,85,467
P,PCF Vendedor Meli Pro,Post Compra Funcionalidades Vendedor,32,8,44
P,PCF Vendedor Seller Dev,Post Compra Funcionalidades Vendedor,536,166,790
P,PDD DS&XD - Vendedor,Arrepentimiento - XD,104,97,227
P,PDD DS&XD - Vendedor,Arrepentimiento - DS,122,62,217
P,PDD DS&XD - Vendedor,Defectuoso - DS,104,78,203
P,PDD DS&XD - Vendedor,Defectuoso - XD,74,62,150
P,PDD DS&XD - Vendedor,Diferente - XD,60,67,136
P,PDD DS&XD - Vendedor,Diferente - DS,57,41,113
P,PDD DS&XD - Vendedor,Incompleto - XD,44,37,94
P,PDD DS&XD - Vendedor,Incompleto - DS,40,26,79
P,PDD DS&XD - Vendedor,Caja Vacía - DS,20,11,32
P,PDD DS&XD - Vendedor,Caja Vacía - XD,16,4,23
P,PDD DS&XD - Vendedor,Asignación del Contáctanos PDD DS&XD,4,1,6
P,PDD FBM - Vendedor,Defectuoso - FBM,66,38,118
P,PDD FBM - Vendedor,Arrepentimiento - FBM,35,13,50
P,PDD FBM - Vendedor,Asignación del Contáctanos PDD FBM,21,18,42
P,PDD FBM - Vendedor,Incompleto - FBM,27,9,38
P,PDD FBM - Vendedor,Diferente - FBM,20,6,28
P,PDD FBM - Vendedor,Caja Vacía - FBM,7,1,8
P,PDD FBM - Vendedor,Defectuoso - Super - FBM,5,1,6
P,PDD FBM - Vendedor,Arrepentimiento - Super - FBM,4,1,5
P,PDD FBM - Vendedor,MED - PDD Low cost,3,1,4
P,PDD FBM - Vendedor,Incompleto - Super - FBM,3,0,3
P,PDD FBM - Vendedor,Diferente - Super - FBM,1,1,2
P,PDD FBM - Vendedor,Low Cost -  Dry,1,0,2
P,PDD Fotos - Vendedor,PDD - Fotos,46,22,72
P,"PDD MP,FLEX & CBT - Vendedor",Arrepentimiento - MP,23,13,42
P,"PDD MP,FLEX & CBT - Vendedor",Defectuoso - Flex,20,12,36
P,"PDD MP,FLEX & CBT - Vendedor",Defectuoso - MP,14,13,27
P,"PDD MP,FLEX & CBT - Vendedor",Arrepentimiento - Flex,9,6,16
P,"PDD MP,FLEX & CBT - Vendedor",Incompleto - Flex,8,5,15
P,"PDD MP,FLEX & CBT - Vendedor",Diferente - Flex,7,3,12
P,"PDD MP,FLEX & CBT - Vendedor",Diferente - MP,1,3,8
P,"PDD MP,FLEX & CBT - Vendedor",Asignación del Contáctanos PDDMP Flex,3,0,5
P,"PDD MP,FLEX & CBT - Vendedor",Incompleto - MP,1,3,4
P,"PDD MP,FLEX & CBT - Vendedor",Defectuoso - CBT,1,0,1
P,PNR ME - Vendedor,PNR - Previo al despacho XD DS,63,48,125
P,PNR ME - Vendedor,PNR - Contradictorio XD DS FBM,16,9,30
P,PNR ME - Vendedor,PNR - Contradictorio - Flex,9,6,15
P,PNR ME - Vendedor,PNR - Contradictorio - DS,8,4,12
P,PNR ME - Vendedor,PNR - Low Cost,5,0,5
P,PNR ME - Vendedor,PNR - Contradictorio - XD,1,3,4
P,PNR ME - Vendedor,PNR - Previo al Despacho - XD,0,1,1
P,PNR ME - Vendedor,PNR - Previo al Despacho - Flex,1,0,1
P,PNR MP - Vendedor,PNR - MP,140,90,266
P,Partners,Drivers,1797,278,2277
P,Partners,Places Kangu,431,59,529
P,Post Venta Mature,Reputación,390,75,516
P,Post Venta Mature,Anulación de Venta,2,1,4
P,Post Venta Meli Pro,Reputación,69,9,79
P,Post Venta Meli Pro,Anulación de Venta,1,1,2
P,Post Venta Seller Dev,Reputación,899,167,1140
P,Post Venta Seller Dev,Anulación de Venta,30,11,46
P,Publicaciones Mature,PR - Técnica prohibida,76,8,96
P,Publicaciones Mature,PR - Propiedad intelectual,60,10,76
P,Publicaciones Mature,Gestión de Publicación,48,16,72
P,Publicaciones Mature,Potenciar Ventas,37,9,54
P,Publicaciones Mature,PR - Artículos prohibidos,15,1,16
P,Publicaciones Mature,Calidad de foto,10,1,13
P,Publicaciones Mature,Antes de publicar,5,3,8
P,Publicaciones Mature,Denuncia de usuario,2,3,5
P,Publicaciones Mature,Afiliados ML,3,0,3
P,Publicaciones Mature,PR - Datos Personales,2,0,2
P,Publicaciones Meli Pro,PR - Técnica prohibida,6,0,6
P,Publicaciones Meli Pro,Potenciar Ventas,2,4,6
P,Publicaciones Meli Pro,Gestión de Publicación,2,3,6
P,Publicaciones Meli Pro,PR - Propiedad intelectual,3,0,3
P,Publicaciones Meli Pro,Calidad de foto,2,0,2
P,Publicaciones Meli Pro,PR - Artículos prohibidos,2,0,2
P,Publicaciones Meli Pro,Antes de publicar,1,0,1
P,Publicaciones Seller Dev,Afiliados ML,1362,180,1687
P,Publicaciones Seller Dev,PR - Técnica prohibida,235,25,286
P,Publicaciones Seller Dev,Gestión de Publicación,213,39,284
P,Publicaciones Seller Dev,Antes de publicar,219,19,267
P,Publicaciones Seller Dev,Potenciar Ventas,196,43,265
P,Publicaciones Seller Dev,PR - Propiedad intelectual,198,25,235
P,Publicaciones Seller Dev,PR - Artículos prohibidos,77,25,113
P,Publicaciones Seller Dev,Denuncia de usuario,85,12,109
P,Publicaciones Seller Dev,Calidad de foto,43,2,47
P,Publicaciones Seller Dev,PR - Datos Personales,11,4,15
P,Publicaciones Seller Dev,Asignación del Contáctanos - Prustomer,0,0,1
