driver,process,promoters,detractors,surveys
Otros CV,Calidad de foto Masivos,0,1,1
Otros CV,FBM - Devoluciones - Masivo,1,0,1
Otros CV,SHS - MED - Funcionalidades,1,0,1
Otros CV,Consultas y Problemas con Pagos - Payers,0,1,1
Otros CV,Despacho Ventas y Publicaciones Masivos,0,1,1
Otros CV,Point - Logística,1,0,1
Otros CV,Funcionalidades de la Wallet,1,0,1
Otros CV,Asignación del contáctanos Buyers Pre,0,0,1
Otros CV,Potenciar Ventas,0,1,1
Otros CV,Denuncia de usuario,1,0,1
Otros CV,Asignación del Contáctanos PNRMP,1,0,1
Otros CV,Datos fiscales,0,1,1
Otros CV,Point - Como adquirir dispositivo,1,0,1
Otros CV,Privacidad de datos - LGPD,0,1,1
Otros CV,Financiamiento de vehículos - Prendarios,1,0,1
Otros CV,Fondos Investments,0,1,1
Otros CV,CDB Investments,0,1,1
PCF Vendedor Mature,Post Compra Funcionalidades Vendedor,332,85,467
PCF Vendedor Meli Pro,Post Compra Funcionalidades Vendedor,32,8,44
PCF Vendedor Seller Dev,Post Compra Funcionalidades Vendedor,536,166,790
Partners,Drivers,1797,278,2277
Partners,Places Kangu,431,59,529
Post Venta Mature,Reputación,390,75,516
Post Venta Mature,Anulación de Venta,2,1,4
Post Venta Meli Pro,Reputación,69,9,79
Post Venta Meli Pro,Anulación de Venta,1,1,2
Post Venta Seller Dev,Reputación,899,167,1140
Post Venta Seller Dev,Anulación de Venta,30,11,46
Publicaciones Mature,PR - Técnica prohibida,76,8,96
Publicaciones Mature,PR - Propiedad intelectual,60,10,76
Publicaciones Mature,Gestión de Publicación,48,16,72
Publicaciones Mature,Potenciar Ventas,37,9,54
Publicaciones Mature,PR - Artículos prohibidos,15,1,16
Publicaciones Mature,Calidad de foto,10,1,13
Publicaciones Mature,Antes de publicar,5,3,8
Publicaciones Mature,Denuncia de usuario,2,3,5
Publicaciones Mature,Afiliados ML,3,0,3
Publicaciones Mature,PR - Datos Personales,2,0,2
Publicaciones Meli Pro,PR - Técnica prohibida,6,0,6
Publicaciones Meli Pro,Gestión de Publicación,2,3,6
Publicaciones Meli Pro,Potenciar Ventas,2,4,6
Publicaciones Meli Pro,PR - Propiedad intelectual,3,0,3
Publicaciones Meli Pro,Calidad de foto,2,0,2
Publicaciones Meli Pro,PR - Artículos prohibidos,2,0,2
Publicaciones Meli Pro,Antes de publicar,1,0,1
Publicaciones Seller Dev,Afiliados ML,1362,180,1687
Publicaciones Seller Dev,PR - Técnica prohibida,235,25,286
Publicaciones Seller Dev,Gestión de Publicación,213,39,284
Publicaciones Seller Dev,Antes de publicar,219,19,267
Publicaciones Seller Dev,Potenciar Ventas,196,43,265
Publicaciones Seller Dev,PR - Propiedad intelectual,198,25,235
Publicaciones Seller Dev,PR - Artículos prohibidos,77,25,113
Publicaciones Seller Dev,Denuncia de usuario,85,12,109
Publicaciones Seller Dev,Calidad de foto,43,2,47
Publicaciones Seller Dev,PR - Datos Personales,11,4,15
Publicaciones Seller Dev,Asignación del Contáctanos - Prustomer,0,0,1
